Unguarded Scores average precision,Unguarded Scores precision @ 15,Unguarded Scores reciprocal rank,Guarded Randomization Score (SPAM) average precision,Guarded Randomization Score (SPAM) precision @ 15,Guarded Randomization Score (SPAM) reciprocal rank,Guarded Randomization Score (PURE) average precision,Guarded Randomization Score (PURE) precision @ 15,Guarded Randomization Score (PURE) reciprocal rank,Guarded Probability Scores (SPAM) average precision,Guarded Probability Scores (SPAM) precision @ 15,Guarded Probability Scores (SPAM) reciprocal rank,Guarded Probability Score (PURE) average precision,Guarded Probability Score (PURE) precision @ 15,Guarded Probability Score (PURE) reciprocal rank
0.25429908035608667,0.07142857142857142,0.07142857142857142,0.5810545228192286,0.5440756774090106,0.3333333333333333,0.5509359100091367,0.6582722832722833,1.0,0.08444444444444443,0,0.05,0.9684661917459906,0.9846415489272633,1.0
0.29846791667225103,0.15252525252525254,0.09090909090909091,0.6292754834237736,0.6016575091575092,0.3333333333333333,0.5365954184704185,0.6417748917748918,1.0,0.060833333333333336,0,0.041666666666666664,0.9157489494645269,0.9117931671503099,1.0
0.5214340379421183,0.41827651515151515,0.25,0.864914508171309,0.8605025316563778,1.0,0.2669172932330827,0.3214285714285714,0.5,0.13774000217936144,0.06666666666666667,0.06666666666666667,0.9224113401016517,0.9752747252747254,1.0
0.4239988850956006,0.26796074296074296,0.1111111111111111,0.8867846468957822,0.9214718152218153,1.0,0.1860606060606061,0.18282828282828287,0.16666666666666666,0.06272727272727273,0,0.045454545454545456,0.9250013555826921,0.9481877249734393,1.0
0.3972394095284602,0.23239538239538238,0.1111111111111111,0.740127382575895,0.7438672438672438,0.5,0.3863624610683433,0.4576048951048951,1.0,0.1586668782576711,0,0.058823529411764705,0.9938080495356038,1.0,1.0
0.43118022227693775,0.2772200022200022,0.16666666666666666,0.6984757009242135,0.6784372193463102,0.3333333333333333,0.48878551420568217,0.6339285714285714,1.0,0.10769501278772378,0,0.058823529411764705,0.9717489272423483,1.0,1.0
0.5410631772420826,0.4399305555555555,0.3333333333333333,0.8401890879705403,0.8057175730252654,0.5,0.43741765480895917,0.5909090909090909,1.0,0.15617222403835676,0.06666666666666667,0.06666666666666667,0.8642631673881672,0.9016991341991341,1.0
0.31281358545197896,0.11212121212121212,0.09090909090909091,0.6463005616226103,0.6283225108225108,0.3333333333333333,0.5170218262130027,0.613919413919414,1.0,0.10435276679841898,0,0.045454545454545456,0.9846178286129265,1.0,1.0
0.5179882478613801,0.4068181818181818,0.2,0.7630966529644011,0.7121632996632997,0.5,0.5219780219780219,0.6324786324786325,1.0,0.16867870433659907,0.07142857142857142,0.07142857142857142,0.9527878983761336,0.962730858884705,1.0
0.3111902088286023,0.10238095238095238,0.07142857142857142,0.5746652127757004,0.5512896825396825,0.3333333333333333,0.5780695954608999,0.6159031444745731,1.0,0.08292929292929292,0,0.045454545454545456,0.9945983379501384,1.0,1.0
0.3181517997975462,0.14825174825174825,0.09090909090909091,0.7557856058069747,0.7386224886224887,0.5,0.4212121212121212,0.4640151515151515,1.0,0.2010060384409641,0,0.0625,0.9770716619981327,0.9901360544217688,1.0
0.29512341774838863,0.16278166278166278,0.09090909090909091,0.6060939204657236,0.5925222925222925,0.3333333333333333,0.5376967249774267,0.6033730158730158,1.0,0.08413702239789196,0,0.045454545454545456,0.946926415568284,0.9481877249734393,1.0
0.33243690195029546,0.2157407407407407,0.125,0.632608230298048,0.623560606060606,0.3333333333333333,0.5115835431624906,0.6186813186813187,1.0,0.09386724386724386,0,0.05,0.9297552042327584,0.9260788814360242,1.0
0.4266811735673628,0.27905242905242905,0.1111111111111111,0.8592917976827318,0.8972293909793909,1.0,0.21333333333333332,0.20555555555555557,0.25,0.12712591756070016,0,0.047619047619047616,0.9713916562099953,0.9846415489272633,1.0
0.5118743562891916,0.40740331097473953,0.3333333333333333,0.8626467760377103,0.9028210215710217,1.0,0.20922077922077925,0.1987012987012987,0.2,0.18090194829325265,0.10989010989010989,0.07692307692307693,0.915985485103132,0.9750688705234158,1.0
0.46027599482573234,0.33437435580292724,0.14285714285714285,0.8368115812505199,0.8599888537388537,1.0,0.2582957393483709,0.2809523809523809,0.5,0.17948290778762097,0.06666666666666667,0.06666666666666667,0.9835956312349502,1.0,1.0
0.31873819597217773,0.15604395604395604,0.1,0.7247138966535924,0.7500655909746818,0.5,0.3957619586296057,0.4519230769230769,1.0,0.08819603356216628,0,0.05263157894736842,0.9853041695146958,1.0,1.0
0.3662871991132861,0.2898701298701299,0.16666666666666666,0.8090052014071625,0.816969141969142,0.5,0.3346774335504312,0.5769230769230769,1.0,0.060833333333333336,0,0.041666666666666664,0.8985713418082343,0.893936024293167,1.0
0.5757164324835732,0.5135687229437229,0.3333333333333333,0.8765996081213473,0.9053743265281725,1.0,0.1976374760430488,0.19642857142857142,0.25,0.09571909571909572,0,0.05555555555555555,0.8094277862660216,0.807996632996633,1.0
0.4254995209693015,0.271956931956932,0.2,0.775290521905701,0.7981601731601731,1.0,0.3089248193449875,0.3256604506604507,0.5,0.18412112671155417,0.06666666666666667,0.06666666666666667,0.975,1.0,1.0
0.5403348468588857,0.4012664418914419,0.2,0.8286149865506826,0.8057175730252654,0.5,0.3765948963317385,0.5909090909090909,1.0,0.1435858585858586,0.06666666666666667,0.06666666666666667,0.9794753427686865,1.0,1.0
0.4663823952100349,0.39882825507825503,0.14285714285714285,0.7487630884511529,0.7505817414908325,0.5,0.39685510567863497,0.4535714285714285,1.0,0.09533011272141707,0,0.05555555555555555,0.9165087853323148,0.9653513153513154,1.0
0.48038086415660786,0.39048055119483693,0.2,0.7578488178488177,0.7893384393384394,1.0,0.32702184576763926,0.3312770562770563,0.5,0.1289942246921652,0,0.05263157894736842,0.9196458866009041,0.9541838503376965,1.0
0.48324657181347574,0.313860742432171,0.1111111111111111,0.845464799227563,0.8268028979567442,0.5,0.3608333333333333,0.5666666666666667,1.0,0.10435276679841898,0,0.045454545454545456,0.9553643660261307,0.9721956614813757,1.0
0.43530267533127937,0.3093494468494469,0.125,0.619603032377071,0.5777176527176526,0.3333333333333333,0.5929552590266874,0.6188644688644688,1.0,0.13554701972322108,0,0.05263157894736842,0.9868125701459033,1.0,1.0
0.43999045687664606,0.31232563732563734,0.14285714285714285,0.7560026648437109,0.7716971916971918,1.0,0.33463987703118137,0.34939393939393937,0.3333333333333333,0.10647727272727273,0,0.05,0.9397444574066598,0.9787545787545788,1.0
0.35468626871194253,0.19380341880341878,0.1111111111111111,0.6696945383685411,0.6326241939878303,0.3333333333333333,0.5220578231292518,0.6904761904761905,1.0,0.15187359868709985,0,0.05263157894736842,0.9606112796063777,0.9721956614813757,1.0
0.5190265579931872,0.3784444721944722,0.16666666666666666,0.7504407713073254,0.7474608724608724,0.5,0.3954000792236086,0.45707070707070707,1.0,0.11391547049441786,0,0.05263157894736842,0.9509146295964847,0.9786891679748823,1.0
0.569897918804657,0.42382617382617377,0.16666666666666666,0.7048274291533254,0.711024531024531,0.5,0.42656545135536733,0.4629670329670329,1.0,0.24097203718260835,0.08333333333333333,0.08333333333333333,0.9475660304607673,0.9885883347421809,1.0
0.47958065179639836,0.36753177378177376,0.14285714285714285,0.7769319353228695,0.7638989798080708,0.5,0.39325396825396824,0.439484126984127,1.0,0.08365079365079364,0,0.047619047619047616,0.9465097108437395,0.9721956614813757,1.0
0.3354720866515018,0.20716089466089466,0.1111111111111111,0.7774273034439276,0.7958765771265771,0.5,0.3572754939296292,0.4653679653679654,1.0,0.10724073028420855,0,0.047619047619047616,0.9945983379501384,1.0,1.0
0.4448181678707952,0.26610889110889113,0.1,0.6977933979188664,0.6483168346804711,0.3333333333333333,0.5295893719806763,0.6666666666666667,1.0,0.08413702239789196,0,0.045454545454545456,0.9160125141742788,0.9117931671503099,1.0
0.4566804116649318,0.33437435580292724,0.14285714285714285,0.7557509965504217,0.6929325304325303,0.3333333333333333,0.6059782608695652,0.75,1.0,0.15742777150385848,0,0.0625,0.9340707831192261,0.9571162964020107,1.0
0.45773073603333386,0.36753177378177376,0.14285714285714285,0.7784160490352442,0.7697264856355766,0.5,0.39121940861071297,0.4346764346764347,1.0,0.08292929292929292,0,0.045454545454545456,0.986084777160292,1.0,1.0
0.3420819247115687,0.20203754578754576,0.125,0.7527294079699068,0.7719797878888788,0.5,0.37811791383219956,0.43392857142857144,1.0,0.13221406612710962,0,0.05555555555555555,0.9938080495356038,1.0,1.0
0.35929323991344453,0.2736002886002886,0.125,0.6148376809815291,0.5737552570885905,0.5,0.5299512987012988,0.5876623376623377,1.0,0.10489389233954452,0,0.047619047619047616,0.9643174400690286,0.9846415489272633,1.0
0.4115715970413776,0.23017316017316017,0.1,0.8898268837636278,0.9482905982905985,1.0,0.18562728121551653,0.16907166907166907,0.1111111111111111,0.1658503507729514,0,0.058823529411764705,0.9494225616668073,0.9786891679748823,1.0
0.38236811238606805,0.20704365079365078,0.125,0.7052094585585137,0.6855844155844155,0.5,0.4526709401709402,0.4832051282051283,1.0,0.20473134435280252,0,0.0625,0.9705357142857143,0.9952380952380953,1.0
0.3773041607383117,0.270991045991046,0.1111111111111111,0.6590523866435832,0.6558730158730158,0.3333333333333333,0.5055408929305988,0.5875124875124874,1.0,0.15064135140222096,0,0.05,0.9907216297825171,1.0,1.0
0.475978872974515,0.353414442700157,0.2,0.8116405220634734,0.8511644920735829,1.0,0.26746031746031745,0.26726190476190476,0.2,0.12008547008547009,0.10512820512820513,0.07692307692307693,0.8684688032113661,0.9750688705234158,1.0
0.36331813392275514,0.20582542457542458,0.125,0.737321699117046,0.7180597180597181,0.5,0.4095286195286196,0.4848484848484848,1.0,0.10922485726833553,0,0.05555555555555555,0.9438401103811729,0.9650528043385186,1.0
0.5253991070127951,0.39198613886113887,0.2,0.8057936291845633,0.808065776815777,0.5,0.36362637362637357,0.456043956043956,1.0,0.17813894915153497,0,0.0625,0.9963235294117647,1.0,1.0
0.7358102538016197,0.6766301879938244,1.0,0.9483301475167962,0.9786891679748823,1.0,0.11495911495911497,0.09090909090909091,0.09090909090909091,0.17168982977806507,0.15048840048840048,0.08333333333333333,0.839246632996633,0.9328843995510662,1.0
0.3541458959043632,0.18142690642690643,0.09090909090909091,0.7108039371793081,0.6890266299357207,0.3333333333333333,0.513777195027195,0.6243589743589744,1.0,0.12760210803689062,0,0.05,0.9976190476190476,1.0,1.0
0.4751382451780806,0.3272445808160094,0.125,0.740184545360713,0.7254397118033483,0.5,0.44345238095238093,0.47619047619047616,1.0,0.060833333333333336,0,0.041666666666666664,0.9373106449457576,0.9774161735700198,1.0
0.3045150096758658,0.18062678062678064,0.1111111111111111,0.558942955621744,0.5257898351648351,0.3333333333333333,0.6099267529092091,0.6530303030303031,1.0,0.06439393939393939,0,0.045454545454545456,0.9967320261437908,1.0,1.0
0.3906137284462573,0.2232967032967033,0.1,0.7503290849813485,0.7697264856355766,0.5,0.37930026322883464,0.4346764346764347,1.0,0.04,0,0.04,0.8887571601356838,0.8909054620593081,1.0
0.3757525134183138,0.2232967032967033,0.1,0.6128280720833752,0.5805666555666557,0.3333333333333333,0.5587510442773601,0.616931216931217,1.0,0.15187359868709985,0,0.05263157894736842,0.9702914142865124,0.9846415489272633,1.0
0.5274282011071065,0.4277944277944277,0.16666666666666666,0.838659748842387,0.8061698984775909,1.0,0.3232323232323232,0.41666666666666663,0.5,0.06340579710144928,0,0.043478260869565216,0.870022020463197,0.8756476429553353,1.0
0.3959377068905366,0.2571428571428571,0.16666666666666666,0.7876174252285607,0.7655906593406594,0.5,0.38065656565656564,0.4983164983164983,1.0,0.10588203463203463,0,0.047619047619047616,0.9789514294996751,1.0,1.0
